index,movie_id,title,genres,overview,keywords,runtime,origin_country,popularity,vote_count,vote_average,production_companies,release_date,budget,cast,director
0,2,Ariel,"['Comedy', 'Drama', 'Romance', 'Crime']",A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.,"['prison', 'underdog', 'helsinki, finland', 'factory worker', 'prisoner', 'falling in love']",73,['FI'],1.2503,353,7.1,['Villealfa Filmproductions'],1988-10-21,0,"['Turo Pajala', 'Susanna Haavisto', 'Matti Pellonpää', 'Eetu Hilkamo']",Aki Kaurismäki
1,3,Shadows in Paradise,"['Comedy', 'Drama', 'Romance']","Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","['helsinki, finland', 'salesclerk', 'garbage']",74,['FI'],0.8214,413,7.291,['Villealfa Filmproductions'],1986-10-17,0,"['Matti Pellonpää', 'Kati Outinen', 'Sakari Kuosmanen', 'Esko Nikkari']",Aki Kaurismäki
2,5,Four Rooms,['Comedy'],It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['hotel', ""new year's eve"", 'witch', 'bet', 'sperm', 'hotel room', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']",98,['US'],2.4659,2707,5.866,"['Miramax', 'A Band Apart']",1995-12-09,4000000,"['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino']",Allison Anders
3,6,Judgment Night,"['Action', 'Crime', 'Thriller']","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","['drug dealer', 'chicago, illinois', 'escape', 'one night', 'boxing']",109,['US'],1.2903,354,6.5,"['Largo Entertainment', 'JVC', 'Universal Pictures']",1993-10-15,21000000,"['Emilio Estevez', 'Cuba Gooding Jr.', 'Denis Leary', 'Stephen Dorff']",Stephen Hopkins
4,11,Star Wars,"['Adventure', 'Action', 'Science Fiction']",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"['empire', 'galaxy', 'rebellion', 'android', 'hermit', 'smuggling (contraband)', 'freedom', 'rebel', 'rescue mission', 'space', 'planet', 'desert', 'super power', 'oppression', 'space opera', 'wizard', 'totalitarianism', 'awestruck', 'excited']",121,['US'],15.2943,21322,8.205,"['Lucasfilm Ltd.', '20th Century Fox']",1977-05-25,11000000,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing']",George Lucas
5,12,Finding Nemo,"['Animation', 'Family']","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","['fish', 'sydney, australia', 'parent child relationship', 'anthropomorphism', 'harbor', 'underwater', 'shark', 'pelican', 'fish tank', 'great barrier reef', 'sea turtle', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short-term memory loss', 'clownfish', 'father son reunion', 'protective father', 'melodramatic']",100,['US'],12.8651,19769,7.817,['Pixar'],2003-05-30,94000000,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Andrew Stanton
6,13,Forrest Gump,"['Comedy', 'Drama', 'Romance']","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","[""new year's eve"", 'vietnam war', 'vietnam veteran', 'mentally disabled', 'friendship', 'usa president', 'washington dc, usa', 'post-traumatic stress disorder (ptsd)', 'waitress', 'based on novel or book', 'hippie', 'single parent', 'parent child relationship', 'optimism', '1970s', 'drug addiction', 'autism', 'alabama', 'black panther party', 'bus stop', 'family relationships', 'chameleon', 'single mother', 'military', 'anti war protest', 'curious', '1960s', 'college american football', 'mother son relationship', 'america', 'feel-good']",142,['US'],20.7456,28400,8.469,"['Paramount Pictures', 'The Steve Tisch Company', 'Wendy Finerman Productions']",1994-06-23,55000000,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",Robert Zemeckis
7,14,American Beauty,['Drama'],"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","['estate agent', 'adultery', 'coming out', 'first time', 'virgin', 'cheating', 'parent child relationship', 'age difference', 'midlife crisis', 'cheerleader', 'dark comedy', 'rose', 'satire', 'dysfunctional family', 'suburbia', 'coming of age', 'sexual fantasy', 'dysfunctional marriage', 'marijuana', 'loneliness', 'love affair', 'biting', 'exercise', 'extramarital affair', 'realtor', 'voyeurism', 'quitting a job', 'neighborhood', 'retired army man', 'closeted homosexual', 'singing in a car', 'gay theme', 'existential', 'teenager', 'camcorder']",122,['US'],6.8879,12450,8.007,"['DreamWorks Pictures', 'Jinks/Cohen Company']",1999-09-15,15000000,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",Sam Mendes
8,15,Citizen Kane,"['Mystery', 'Drama']","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","['media tycoon', 'florida', 'art collector', 'newspaper', 'capitalist', 'journalist', 'sleigh', 'banker', 'american dream', 'failure', 'money', 'black and white', 'told in flashback', 'snowglobes', 'kids', 'serious', 'based on real person']",119,['US'],3.6859,5709,7.999,"['Mercury Productions', 'RKO Radio Pictures']",1941-04-17,839727,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Ray Collins']",Orson Welles
9,16,Dancer in the Dark,"['Drama', 'Crime']","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles – even if just for a moment – by dreaming up little numbers to the rhythmic beats of her surroundings.","['factory worker', 'dying and death', 'individual', 'immigrant', 'blindness and impaired vision', 'dancing', 'eye operation', 'small town', 'naivety', 'hereditary disease', 'robbery', 'court', 'musical', 'female friendship', 'murder', 'debt', 'execution', 'police officer', 'trailer', 'daydreaming', 'coping mechanisms', 'mother son relationship']",140,['DK'],2.8152,1877,7.866,"['Zentropa Entertainments', 'DR', 'SVT Drama', 'ARTE', 'France 3 Cinéma', 'Blind Spot Pictures', 'Liberator Productions', 'Íslenska kvikmyndasamsteypan', 'Pain Unlimited Filmproduktion', 'Trust Film Svenska', 'Cinematograph', 'What Else?', 'ARTE France Cinéma', 'Film i Väst', 'WDR']",2000-09-01,12500000,"['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare']",Lars von Trier
